,solution_num,domain_max,domain_max,找到幾個解,用了幾個step找到所有解,n_trials,used_time
0,20.0,30.0,-30.0,20.0,182.0,1000.0,1.72751
1,20.0,30.0,-30.0,20.0,137.0,1000.0,1.45834
2,20.0,30.0,-30.0,20.0,183.0,1000.0,1.75313
